"AY.3","B.1.1.519","B.1.1.7","B.1.526","B.1.617.2","B.1.621","Other","P.1","location","C.37","A.2.5","AY.2","AY.1","B.1","P.1.1","B.1.2","B.1.214.3","B.1.621.1","C.36.3.1","B.1.628","C.36.3","B.1.1.318","B.1.626","B.1.429","date"
0,0,0,0,0,0,1,0,"AK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-15
0,0,0,0,0,0,1,0,"AK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-16
0,0,0,0,0,0,1,0,"AK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-17
0,0,0,0,0,0,1,0,"AK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-18
0,0,0,0,0,0,1,0,"AK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-19
0,0,0,0,0,0,1,0,"AK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-20
0,0,0,0,0,0,1,0,"AK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-21
0,0,0,0,0,0,1,0,"AK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-22
0,0,0,0,0,0,1,0,"AK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-23
0,0,0,0,0,0,1,0,"AK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-24
0,0,0,0,0,0,1,0,"AK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-25
0,0,0,0,0,0,1,0,"AK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-26
0,0,0,0,0,0,1,0,"AK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-27
0,0,0,0,0,0,1,0,"AK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-28
0,0,0,0,0,0,1,0,"AK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-29
0,0,0,0,0,0,1,0,"AK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-30
0,0,0,0,0,0,1,0,"AK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-31
0,0,0,0,0,0,1,0,"AK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-08-01
0,0,0,0,0,0,1,0,"AK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-08-02
